checkpoint,history,path,system,aligned_rmsd,drmsd,bond_rmse,contact_f1,contact_occupancy_mae,rmsf_prediction,rmsf_target,rmsf_absolute_error,rmsf_correlation,velocity_rmse,dynamic_correlation
pilot_48,H4,clean_latent_decoder_oracle,atlas_2ejn_B,0.06490334062949359,0.056954902022473435,0.035546199759912696,0.9827651755123483,0.00039945602229592625,1.1072962284088135,1.107673744360606,0.0006770491600036621,0.9999785224596659,0.0002036024987396445,0.9997629721959432
pilot_48,H4,clean_latent_decoder_oracle,atlas_3f0o_B,0.06576174309612724,0.057811924436439344,0.03626464598609306,0.9830502276020378,0.000286164988800812,0.7615576187769572,0.7616279621918997,0.0002493758996327718,0.9999053776264191,0.00020440417386135786,0.999525636434555
pilot_48,H4,clean_latent_decoder_oracle,atlas_3hdj_B,0.06476880404853438,0.05675125833932054,0.03668423767675876,0.9829012931978213,0.00020280890331085536,0.838733990987142,0.8374503056208292,0.0012836853663126628,0.9998871882756551,0.00020929117393402374,0.9995258748531342
pilot_48,H4,clean_latent_decoder_oracle,atlas_3l4h_A,0.06269151489655908,0.053759285277992765,0.036155911429481415,0.9837758612682134,0.00047395527897730667,0.9592393736044565,0.9587641457716624,0.00047522783279418945,0.9999049405256907,0.00021220795041775013,0.999635636806488
pilot_48,H4,clean_latent_decoder_oracle,atlas_3rv1_B,0.06625838738220645,0.0579980521057323,0.038075433136121765,0.982727309519869,0.00023322989098862823,1.8747864961624146,1.8759185075759888,0.0011320114135742188,0.9999581674734751,0.00023017688254480464,0.9998370210329691
pilot_48,H4,clean_latent_decoder_oracle,atlas_5ef9_A,0.06221193430084596,0.05385526743255751,0.036776977822235296,0.9833509670227785,0.0003062543031115296,1.013640304406484,1.0128785769144695,0.000761727492014567,0.999951183795929,0.00021332215055404813,0.9996979435284933
pilot_48,H4,clean_latent_decoder_oracle,atlas_5ii7_A,0.06178245865350168,0.054436889512007224,0.03707425019983628,0.9830028488027982,0.0003913014946402976,1.1871219078699748,1.1872182885805767,0.0002829829851786296,0.9999716281890869,0.00021334670044940808,0.999767671028773
pilot_48,H4,clean_latent_decoder_oracle,atlas_6xb3_H,0.06745560804330578,0.059504738981949946,0.03713309544481776,0.9829270078577101,0.00023180377350102619,0.8818485339482626,0.8813096980253855,0.0005388359228769938,0.9998883207639059,0.00021474546522737555,0.9995933572451273
pilot_48,H4,generated,atlas_2ejn_B,2.4407133859547643,1.5623661355052334,0.530598071332261,0.7804481851418092,0.005216483816888012,0.8013673623402914,1.107673744360606,0.3063063820203145,0.6118747393290201,0.012241784119829182,-0.006957936954374115
pilot_48,H4,generated,atlas_3f0o_B,1.6934710746264698,1.2867161349958562,0.524173363399065,0.7765027512605855,0.003850470187960799,0.7621316909790039,0.7616279621918997,0.047147164742151894,0.556352953116099,0.009980633311824897,0.0055422278043503566
