sample_id,source,time_bucket_id,atoms,native_delta_time_ps,rollout_frame0_rmsd,rollout_future_rmsd,rollout_future_drmsd,rollout_future_bond_rmse,rollout_future_contact_error,rollout_future_clash_rate,rollout_velocity_rmse,rollout_acceleration_rmse,rollout_frequency_retention,one_step_rmsd,one_step_drmsd,one_step_bond_rmse,one_step_contact_error,one_step_clash_rate,elapsed_s
atlas_3bl9_A_R1_w000000,atlas,dt_100ps,2466,100.0,0.0,3.8668895876411846,2.4757712270402,0.07931048565362735,0.00016911111015360802,0.0,0.01134510591666868,0.00017722153919575963,0.10654958337545395,1.9115736369628165,1.6346954002473872,0.07237822227828074,0.0001196323282783851,0.0,10.453628567047417
atlas_3bl9_A_R1_w000001,atlas,dt_100ps,2466,100.0,0.0,2.6436718399362142,2.0722588369130692,0.0787485451696375,0.00011818225175375119,0.0,0.010969009922375128,0.00017750990744143795,0.19318172335624695,2.172209679593653,1.760978864778003,0.07870947834110643,4.679831909015775e-05,0.0,9.3804773890879
misato_4U03_w000000,misato,dt_80ps,3166,80.0,0.0,1.9311995045995511,1.4809154953683201,0.07925515804010078,7.229269249364734e-05,0.0,0.009747024793387689,0.00019937518464826451,0.4550490975379944,1.3635094569136723,1.0043465802694558,0.072764411910219,0.00011231614189455286,0.0,12.233936951030046
misato_4U03_w000001,misato,dt_80ps,3166,80.0,0.0,1.993894317091428,1.4688800997638642,0.07930874477301261,7.664944132557139e-05,0.0,0.009374148375479051,0.00019220941687581115,0.41451022028923035,1.22297454688347,0.9870268207140878,0.0760349210132377,5.276060983305797e-05,0.0,12.199428941938095
misato_4U03_w000002,misato,dt_80ps,3166,80.0,0.0,1.7728055928897772,1.4093220110826112,0.08027221836547266,0.00011001120583387092,0.0,0.009604509294957186,0.00019968396674436604,0.5580167174339294,1.3547955690988909,1.082994163434054,0.07674970681098767,5.855628114659339e-05,0.0,12.183122013928369
atlas_3bl9_A_R1_w000002,atlas,dt_100ps,2466,100.0,0.0,2.908811855207652,2.3034230012273054,0.07766129746430112,6.608890544157475e-05,0.0,0.011726736784274584,0.0001884504605457175,0.13892386853694916,1.8754852302842275,1.452520839653282,0.06972564060873307,3.954787825932726e-05,0.0,9.36873258498963
atlas_3bl9_A_R1_w000003,atlas,dt_100ps,2466,100.0,0.0,3.6446786995812337,3.0327984502467906,0.07918958123173561,0.00011227203503949568,0.0,0.012074840165787646,0.00018981021218582444,0.12635105848312378,2.5692814669313946,1.7342860568498042,0.07636924994530059,8.964184962678701e-05,0.0,9.38090533297509
misato_4U03_w000003,misato,dt_80ps,3166,80.0,0.0,1.981468414878874,1.4788780826358816,0.07985837079814175,0.00010737317643361166,1.3323386838237639e-08,0.00975027405183367,0.00020120782763771779,0.46642008423805237,1.298464019908526,1.022563590331808,0.07436811951258523,7.534374890383333e-05,0.0,12.185855739982799
atlas_3bl9_A_R1_w000004,atlas,dt_100ps,2466,100.0,0.0,4.218471263578281,3.0607838395919957,0.08068336320565722,3.746062793652527e-05,0.0,0.010426584411237495,0.0001612820021023685,0.12775251269340515,2.102419199984189,1.5138981213224931,0.07904726684587805,4.020700725959614e-05,0.0,9.356747861020267
atlas_3bl9_A_R1_w000005,atlas,dt_100ps,2466,100.0,0.0,3.9185382889257756,2.4747539860382797,0.08026903933985528,0.00010172593465540558,0.0,0.011344134259997972,0.00017934313587078966,0.0916827842593193,2.0502626762505276,1.3676549493850387,0.07407987928898122,2.9001776056247763e-05,0.0,9.373809554963373
